PUCK,177920576,2372895,3468,6837484,260354262.2,38.077494908946036,26035707.052364994,312428484.62837994,-305591000.62837994,-44.693486760390215
ANIC.L,102323320,0,162516592,40384936,-14147778,-0.3503231501964,-1414793.060568126,-16977516.72681751,57362452.72681751,1.4203923147684947
S9I.DE,205400000,8709000,27651000,15782375,278888000,17.670851186846086,27889100.823869552,334669209.8864346,-318886834.8864346,-20.205250153188896
0JMU.L,132826184,44251000,12682000,331500,224166966.79999998,676.2201110105581,22416938.478766453,269003261.7451974,-268671761.7451974,-810.4728861091928
DBAN.VI,601771904,12003000,85044000,163755504,799528260.8,4.882451223135681,79953688.49496669,959444261.9396002,-795688757.9396002,-4.859004665514023
DEZ.F,497226240,248600000,67200000,27842500,902378048,32.41009420849421,90238778.15437953,1082865337.8525543,-1055022837.8525543,-37.89253256182291
AAD.F,617550464,79176000,2260000,79507376,972364172.8,12.229861199293007,97237466.12524639,1166849593.5029566,-1087342217.5029566,-13.675991740728012
AKW.PA,399955616,52829000,166512000,23194124,466252643.1999999,20.1021880886728,46625767.245634355,559509206.9476123,-536315082.9476123,-23.12288590625851
ALYA,162798768,144715008,27139000,45000248,353634221.6,7.85849494873895,35363803.6092375,424365643.31085,-379365395.31085,-8.43029565772282
AAEV.L,119990736,0,32860000,8677750,141126567.2,16.263036754919188,14112808.9468439,169353707.3621268,-160675957.3621268,-18.51585461232771
A34.SI,270234944,345479008,23237000,42160124,714082676.8,16.93739507976779,71409037.92868052,856908455.1441662,-814748331.1441662,-19.32509333094386
DMF,126827104,47272104,1309077,5305883,229862327.79999998,43.32216292745241,22986480.722094722,275837768.6651367,-270531885.6651367,-50.98715626883154
AMP.MC,123724224,113253000,30266000,42688752,262387124.79999998,6.146516646820689,26238995.50512192,314867946.06146306,-272179194.06146306,-6.375899535818313
0NO6.L,120032752,113253000,30266000,42688752,257034490.4,6.021129181757293,25703726.291477334,308444715.497728,-265755963.497728,-6.2254329547448
EMX,209591248,43148000,19516000,542172,327539309.59999996,604.124354632847,32754284.261836376,393051411.1420365,-392509239.1420365,-723.9570452587675
0922.HK,422058432,45267000,341150016,158744000,316101710.4,1.9912671370256512,31610512.004615523,379326144.0553863,-220582144.0553863,-1.3895463391081635
APX.AX,229106128,14185000,55157000,35006380,291231885.59999996,8.319394510372108,29123502.698660545,349482032.3839265,-314475652.3839265,-8.983381097500699
CLN.SI,190030944,45885000,32135000,26183624,289294868.8,11.048694741415474,28929798.929288153,347157587.15145785,-320973963.15145785,-12.258576702425067
MD1.F,335970048,13600000,90844000,48813376,409912569.59999996,8.397545984117139,40991699.11414562,491900389.36974746,-443087013.36974746,-9.07716387757625
1A9.F,512122496,51293000,16176000,227851792,777694619.1999999,3.4131599860316215,77770300.78400518,933243609.4080622,-705391817.4080622,-3.0958361626932573
AFC.BK,309905248,98690752,104163080,42963784,443890281.59999996,10.331731525323747,44389506.9643665,532674083.57239807,-489710299.57239807,-11.398211562845537
VZ8.F,521822304,7388000,534345984,300987488,229684356.79999995,0.7631026735569817,22968683.430125453,275624201.16150546,25363286.83849454,0.08426691423961963
6818.TWO,621968768,157472992,118825000,44194624,940502705.6,21.280930133040616,94051285.03772303,1128615420.4526763,-1084420796.4526763,-24.53739161696853
TIBN.SW,148538336,7524000,14779000,9690625,208125587.2,21.47700351628507,20812783.21565594,249753398.5878713,-240062773.5878713,-24.772682214807745
MALT.PA,297590464,1584000,168000,2802250,432922172.8,154.49091722722812,43292684.25356371,519512211.04276454,-516709961.04276454,-184.39110038103829
0690.HK,356427104,20425000,109244000,32488376,428000300.8,13.173951840498276,42800491.744563036,513605900.9347564,-481117524.9347564,-14.808912730348737
BI2.F,344302080,23830000,87130000,984250,435938016,442.91391008382016,43594271.826617345,523131261.91940814,-522147011.91940814,-530.5024251149689
1B9.F,505754368,463600000,330900000,94125000,866043833.6,9.200996904116867,86605317.5223061,1039263810.2676733,-945138810.2676733,-10.041315381329863
LCUT,127613064,309424992,15122000,69215376,479341934.79999995,6.925367779552334,47934710.52446108,575216526.293533,-506001150.29353297,-7.310530976434094
0QP3.L,255022784,67795000,23104000,824875,414474036.8,502.468903530838,41447850.75439395,497374209.0527274,-496549334.0527274,-601.9691881227185
CIX,255480560,0,64752000,19033000,305694812,16.061304681342932,30569810.939164996,366837731.26997995,-347804731.26997995,-18.273773512845057
GSC-R.BK,380000000,19438984,170032592,26613130,400406392,15.045445312144794,40041071.100261874,480492853.2031425,-453879723.2031425,-17.05472912066873
L19.SI,120540160,65625000,91035000,55082752,149373232,2.7117968252566613,14937484.322148167,179249811.865778,-124167059.865778,-2.2541912914187368
5QV.F,179695632,688566016,42076000,84531752,907048682.4,10.73027189120604,90705846.63238157,1088470159.588579,-1003938407.5885789,-11.876465160553858
CCLP,163280048,670372992,12316000,14085750,894813061.6,63.526121193404684,89482271.35437092,1073787256.252451,-1059701506.252451,-75.23216770512404
2YU.F,316325696,1367181952,2934046976,320255488,-1108192764.8,-3.4603396548195917,-110820471.8374041,-1329845662.048849,1650101150.048849,5.152452375925714
PHOL-R.BK,607500032,63667000,45248000,50162076,899294046.4,17.92776771041135,89930374.6678065,1079164496.013678,-1029002420.0136781,-20.51355330695799
SLP-R.BK,612971968,25702000,233231008,29530924,681280345.6,23.07006531864699,68128769.42628974,817545233.1154768,-788014309.1154768,-26.684376998006456
GRWG,198397152,45360000,70573000,15019500,262462870.39999998,17.474807443656577,26246570.146825273,314958841.7619033,-299939341.7619033,-19.96999512379928
IDC2.F,566263936,6383000,138484992,14830625,688980715.1999999,46.456620351468665,68898814.69233008,826785776.307961,-811955151.307961,-54.74854574962019
LDE.F,212726880,126935000,2950000,7792500,432438976,55.49425421880013,43244364.05236118,518932368.62833416,-511139868.62833416,-65.59382337225976
CPHN.SW,523199968,82297000,157896000,36475500,683040953.6,18.7260203040397,68304832.12537795,819657985.5045354,-783182485.5045354,-21.471466751779563
CYB.MI,129394424,2389402,4504408,714726,185506908.79999998,259.54968589361516,18550890.97791075,222610691.734929,-221895965.734929,-310.46298264639734
OLE.MC,125000000,166260992,66832000,8945625,280678992,31.37611871725005,28068201.955731604,336818423.46877927,-327872798.46877927,-36.651748588698865
